File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF358BEF	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIU	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										USF1-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF074EWX, ENCFF433NME, ENCFF868HHE	527733	ENCODE Processing Pipeline	3094c785a738fc27832b7fe913c3d950		https://www.encodeproject.org/files/ENCFF358BEF/@@download/ENCFF358BEF.bed.gz	hg19				released	s3://encode-public/2017/12/08/72c08fc2-7c90-41ac-b06a-bed468238c91/ENCFF358BEF.bed.gz				
ENCFF002CRJ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBW	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										ZNF143-human	DNA					False	2012-05-14	ENCODE												775636	ENCODE Consortium Analysis Working Group	75c727b2ab18086c2d82e11bf53d3266		https://www.encodeproject.org/files/ENCFF002CRJ/@@download/ENCFF002CRJ.bed.gz	hg19				archived	s3://encode-public/2014/06/06/ca1c35c2-a97e-4023-b6cb-31319e1bb89d/ENCFF002CRJ.narrowPeak.gz				
ENCFF964BYN	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBW	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										ZNF143-human	DNA					False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF080SVL, ENCFF180SZJ, ENCFF902CAT	639247	ENCODE Processing Pipeline	cca4fd168c13d68f7e9751c2a7a43c7c		https://www.encodeproject.org/files/ENCFF964BYN/@@download/ENCFF964BYN.bed.gz	hg19				released	s3://encode-public/2017/12/09/640b2dda-350c-46e9-957d-8808a6f2e8c2/ENCFF964BYN.bed.gz				
ENCFF002CQT	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBT	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										CHD2-human	DNA					False	2012-05-14	ENCODE												174733	ENCODE Consortium Analysis Working Group	690e5693f30182418f145a0b807b6ddc		https://www.encodeproject.org/files/ENCFF002CQT/@@download/ENCFF002CQT.bed.gz	hg19				archived	s3://encode-public/2014/06/06/34f88489-1bd7-447e-9fd5-f85351b3cb65/ENCFF002CQT.narrowPeak.gz				
ENCFF873ITO	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBT	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										CHD2-human	DNA					False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF357PEJ, ENCFF410KKV, ENCFF766QCW	168315	ENCODE Processing Pipeline	3788a42ecff9429d70770a237a3a4eab		https://www.encodeproject.org/files/ENCFF873ITO/@@download/ENCFF873ITO.bed.gz	hg19				released	s3://encode-public/2017/12/09/e7798ab3-5ba6-474a-a5fb-9d2416e65209/ENCFF873ITO.bed.gz				
ENCFF002CRD	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ECE	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										RAD21-human	DNA					False	2011-10-29	ENCODE												1287346	ENCODE Consortium Analysis Working Group	5a44b504fef5e1d30de5d83679e442a0		https://www.encodeproject.org/files/ENCFF002CRD/@@download/ENCFF002CRD.bed.gz	hg19				archived	s3://encode-public/2014/06/06/f457d7df-f153-40a0-88dd-ef2d1bb5113a/ENCFF002CRD.narrowPeak.gz				
ENCFF732XGR	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ECE	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										RAD21-human	DNA					False	2011-10-29	ENCODE				1, 2							ENCFF001TDO, ENCFF190MWS, ENCFF656HTA, ENCFF680SHJ	1032500	ENCODE Processing Pipeline	31956512aead9d11c3421ce3768da5a2		https://www.encodeproject.org/files/ENCFF732XGR/@@download/ENCFF732XGR.bed.gz	hg19				released	s3://encode-public/2017/12/09/568e9f18-07b4-466f-8745-38b2949984a8/ENCFF732XGR.bed.gz				
ENCFF002CJK	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIR	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										SP1-human	DNA					False	2011-07-18	ENCODE												294919	ENCODE Consortium Analysis Working Group	aab140e1c863b7cec5f3f96c7cb939e2		https://www.encodeproject.org/files/ENCFF002CJK/@@download/ENCFF002CJK.bed.gz	hg19				archived	s3://encode-public/2014/06/06/539aaf05-b866-42b1-93d0-9ac17bbb6841/ENCFF002CJK.narrowPeak.gz				
ENCFF317TBZ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIR	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										SP1-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF384GPX, ENCFF668CZT, ENCFF721YVP	358846	ENCODE Processing Pipeline	153f620eadc2ac2a8cf56b12fe87a91e		https://www.encodeproject.org/files/ENCFF317TBZ/@@download/ENCFF317TBZ.bed.gz	hg19				released	s3://encode-public/2017/12/08/31f3adc4-7ee8-463f-83ac-fdbd9521fa91/ENCFF317TBZ.bed.gz				
ENCFF002CJB	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BHM	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										REST-human	DNA					False	2011-07-18	ENCODE												272383	ENCODE Consortium Analysis Working Group	fd8f0f6b21e19fa1c186d9de059c1d27		https://www.encodeproject.org/files/ENCFF002CJB/@@download/ENCFF002CJB.bed.gz	hg19				archived	s3://encode-public/2014/06/06/5c861a74-33fb-4ed8-9f00-791025005630/ENCFF002CJB.narrowPeak.gz				
ENCFF453HPD	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BHM	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										REST-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF116MTZ, ENCFF719OMW, ENCFF935KIG	278409	ENCODE Processing Pipeline	07f8d6d12ffe4b5d81a0bfda84ea298d		https://www.encodeproject.org/files/ENCFF453HPD/@@download/ENCFF453HPD.bed.gz	hg19				released	s3://encode-public/2016/12/14/f4039024-6481-40bb-859b-fbdadc3a9341/ENCFF453HPD.bed.gz				
ENCFF002CJI	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIS	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										SIN3A-human	DNA					False	2011-07-18	ENCODE												172732	ENCODE Consortium Analysis Working Group	b61359273fea3d424d3f5c67bf8bde7c		https://www.encodeproject.org/files/ENCFF002CJI/@@download/ENCFF002CJI.bed.gz	hg19				archived	s3://encode-public/2014/06/06/51ae7c01-9f4d-4e6d-b7b7-9d4a3e1b7e72/ENCFF002CJI.narrowPeak.gz				
ENCFF820OMK	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIS	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										SIN3A-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF347PIM, ENCFF490MZG, ENCFF605LQA	255908	ENCODE Processing Pipeline	23a7613b25af81f5dbf2037400bca991		https://www.encodeproject.org/files/ENCFF820OMK/@@download/ENCFF820OMK.bed.gz	hg19				released	s3://encode-public/2017/12/08/65af1305-996e-48cc-8d3c-a591afa061ba/ENCFF820OMK.bed.gz				
ENCFF002CQR	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBV	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										CEBPB-human	DNA					False	2012-05-14	ENCODE												393759	ENCODE Consortium Analysis Working Group	93acf8da6d974324baaa296688cc5927		https://www.encodeproject.org/files/ENCFF002CQR/@@download/ENCFF002CQR.bed.gz	hg19				archived	s3://encode-public/2014/06/06/dc331766-fdf5-4013-ac05-bc0bb02afea5/ENCFF002CQR.narrowPeak.gz				
ENCFF002DAS	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000DLJ	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										POLR2A-human	DNA					False	2011-03-17	ENCODE												285136	ENCODE Consortium Analysis Working Group	2aad5d993c8515e169cb23f95352a1f0		https://www.encodeproject.org/files/ENCFF002DAS/@@download/ENCFF002DAS.bed.gz	hg19				archived	s3://encode-public/2014/06/06/ea38970d-097a-4e44-aa26-31e26a524f30/ENCFF002DAS.narrowPeak.gz				
ENCFF002CQZ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBS	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										MAFK-human	DNA					False	2012-05-14	ENCODE				1, 2							ENCFF000WTL, ENCFF000WTO	289621	ENCODE Consortium Analysis Working Group	9188dfc8c8f29afab3845d1a3f90b18c		https://www.encodeproject.org/files/ENCFF002CQZ/@@download/ENCFF002CQZ.bed.gz	hg19				archived	s3://encode-public/2014/06/06/85eb3db4-f4bc-4c97-bcfb-7a4910679b88/ENCFF002CQZ.narrowPeak.gz				
ENCFF646GCM	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBS	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										MAFK-human	DNA					False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF039SJR, ENCFF671DTY, ENCFF977JIT	237494	ENCODE Processing Pipeline	108afcdf21f46b3d015de451be0f4d11		https://www.encodeproject.org/files/ENCFF646GCM/@@download/ENCFF646GCM.bed.gz	hg19				released	s3://encode-public/2016/08/23/a34ec8da-3416-4a12-a8ee-7cfca2df68d5/ENCFF646GCM.bed.gz				
ENCFF002CIZ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BKP	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										JUND-human	DNA					False	2011-07-18	ENCODE												164218	ENCODE Consortium Analysis Working Group	1c0e5f009a39b207e74f525bcfd58e35		https://www.encodeproject.org/files/ENCFF002CIZ/@@download/ENCFF002CIZ.bed.gz	hg19				archived	s3://encode-public/2014/06/06/85af3ac1-eebd-4cf7-9c2f-e703de13a6c9/ENCFF002CIZ.narrowPeak.gz				
ENCFF073PCP	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BKP	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										JUND-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF041GFP, ENCFF686SJD, ENCFF905FMJ	258230	ENCODE Processing Pipeline	009fcd86b3b4d6d1e42350f2b7f87273		https://www.encodeproject.org/files/ENCFF073PCP/@@download/ENCFF073PCP.bed.gz	hg19				released	s3://encode-public/2017/07/07/df438ecc-40c8-493a-8a43-1c081fd5e6a5/ENCFF073PCP.bed.gz				
ENCFF002CQP	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBQ	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										BACH1-human	DNA					False	2012-05-14	ENCODE												295772	ENCODE Consortium Analysis Working Group	c57049823cef0ab9af77fae6384cf1bd		https://www.encodeproject.org/files/ENCFF002CQP/@@download/ENCFF002CQP.bed.gz	hg19				archived	s3://encode-public/2014/06/06/7c988475-aa63-4396-b644-e5416bbc0f2b/ENCFF002CQP.narrowPeak.gz				
ENCFF977MDK	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBQ	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										BACH1-human	DNA					False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF415TPT, ENCFF502ZML, ENCFF627CTC	231168	ENCODE Processing Pipeline	f0d5e3cdd99adc2c94a24de809558a54		https://www.encodeproject.org/files/ENCFF977MDK/@@download/ENCFF977MDK.bed.gz	hg19				released	s3://encode-public/2017/12/09/c7e12f80-8342-449f-b70f-fb109a783e39/ENCFF977MDK.bed.gz				
ENCFF002DAQ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000DLI	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										MYC-human	DNA					False	2011-03-17	ENCODE												23637	ENCODE Consortium Analysis Working Group	db3e8213f3619d4752ffe48e2c8d59e4		https://www.encodeproject.org/files/ENCFF002DAQ/@@download/ENCFF002DAQ.bed.gz	hg19				archived	s3://encode-public/2014/06/06/5c34805d-fd51-48af-9374-0de4ef608b08/ENCFF002DAQ.narrowPeak.gz				
ENCFF002CQQ	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBX	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										BRCA1-human	DNA					False	2012-05-14	ENCODE												53948	ENCODE Consortium Analysis Working Group	51011e40936b048440f5f97f0de44638		https://www.encodeproject.org/files/ENCFF002CQQ/@@download/ENCFF002CQQ.bed.gz	hg19				archived	s3://encode-public/2014/06/06/6bcea39b-b115-4d3f-bc74-6821c863cab4/ENCFF002CQQ.narrowPeak.gz				
ENCFF658OOS	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EBX	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										BRCA1-human	DNA					False	2012-05-14	ENCODE				1, 2							ENCFF001TDO, ENCFF312BLK, ENCFF354QYP, ENCFF607PGS	36525	ENCODE Processing Pipeline	84b058d22a0501bc42a348af3a655419		https://www.encodeproject.org/files/ENCFF658OOS/@@download/ENCFF658OOS.bed.gz	hg19				released	s3://encode-public/2017/07/20/3b76318e-dbbe-48e4-8d0d-09c635de69c3/ENCFF658OOS.bed.gz				
ENCFF002CRG	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EUQ	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										SUZ12-human	DNA					False	2011-10-29	ENCODE												121074	ENCODE Consortium Analysis Working Group	0c6b969de303af1a6f5dbe057e9aaacc		https://www.encodeproject.org/files/ENCFF002CRG/@@download/ENCFF002CRG.bed.gz	hg19				archived	s3://encode-public/2014/06/06/3da96a6d-9c02-4718-acda-0da377313c63/ENCFF002CRG.narrowPeak.gz				
ENCFF062SBW	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000EUQ	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										SUZ12-human	DNA					False	2011-10-29	ENCODE				1, 2							ENCFF001TDO, ENCFF380NLL, ENCFF651DQM, ENCFF940PJA	76539	ENCODE Processing Pipeline	0ceda548faa288b705b6a4c1090317b6		https://www.encodeproject.org/files/ENCFF062SBW/@@download/ENCFF062SBW.bed.gz	hg19				released	s3://encode-public/2018/06/08/1258d3aa-90c5-4e41-a490-2482951f87c8/ENCFF062SBW.bed.gz				
ENCFF002CJG	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BLD	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										RAD21-human	DNA					False	2011-07-18	ENCODE												1681653	ENCODE Consortium Analysis Working Group	5430340eb9fc27a77685a961af585d94		https://www.encodeproject.org/files/ENCFF002CJG/@@download/ENCFF002CJG.bed.gz	hg19				archived	s3://encode-public/2014/06/06/2b155943-6474-43a7-a963-28805fbadef2/ENCFF002CJG.narrowPeak.gz				
ENCFF824FIL	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BLD	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										RAD21-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF216OCU, ENCFF428PSB, ENCFF474BFW	1187834	ENCODE Processing Pipeline	23e386dd5736b37be6fee217c9b4406b		https://www.encodeproject.org/files/ENCFF824FIL/@@download/ENCFF824FIL.bed.gz	hg19				released	s3://encode-public/2017/12/08/6befacb6-f029-48c3-974c-1ce0dc834e03/ENCFF824FIL.bed.gz				
ENCFF002CRI	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ECD	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										USF2-human	DNA					False	2011-10-29	ENCODE												179232	ENCODE Consortium Analysis Working Group	94400560a37b1ac2bf50a0a09a410928		https://www.encodeproject.org/files/ENCFF002CRI/@@download/ENCFF002CRI.bed.gz	hg19				archived	s3://encode-public/2014/06/06/13acb4b6-3402-448d-b670-75aebfe676bc/ENCFF002CRI.narrowPeak.gz				
ENCFF749OBU	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000ECD	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										USF2-human	DNA					False	2011-10-29	ENCODE				1, 2							ENCFF001TDO, ENCFF019JVF, ENCFF264NVN, ENCFF846OWC	152905	ENCODE Processing Pipeline	4b435ca82f521bf3df4bfd0f305c0d06		https://www.encodeproject.org/files/ENCFF749OBU/@@download/ENCFF749OBU.bed.gz	hg19				released	s3://encode-public/2017/07/20/9b84b440-a5bc-4120-a987-9386d09a61bb/ENCFF749OBU.bed.gz				
ENCFF002CJN	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIV	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										SRF-human	DNA					False	2011-07-18	ENCODE												103006	ENCODE Consortium Analysis Working Group	a5858b2044edbdf6772f3c51c1a42214		https://www.encodeproject.org/files/ENCFF002CJN/@@download/ENCFF002CJN.bed.gz	hg19				archived	s3://encode-public/2014/06/06/03b581af-c588-4643-8ef3-9d5f98cd0137/ENCFF002CJN.narrowPeak.gz				
ENCFF725LDD	bed narrowPeak	optimal IDR thresholded peaks	ENCSR000BIV	ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										SRF-human	DNA					False	2011-07-18	ENCODE				1, 2							ENCFF001TDO, ENCFF145RHD, ENCFF471LWP, ENCFF605EQP	99200	ENCODE Processing Pipeline	9650ba5ad4127ecca39d1e2d2efc50e9		https://www.encodeproject.org/files/ENCFF725LDD/@@download/ENCFF725LDD.bed.gz	hg19				released	s3://encode-public/2017/12/08/d6ab5cdf-5da2-4576-8d80-a4ec19958468/ENCFF725LDD.bed.gz				
